名前	ふりがな	アドレス	性別	年齢	誕生日	婚姻	都道府県	携帯	キャリア	カレーの食べ方
池田 太朗	いけだ たろう	ikeda_tarou@example.com	男	74	1945/7/20	既婚	徳島県	080-1618-5983	ソフトバンク	手前ルー・せき止め派
竹中 貴美子	たけなか きみこ	takenaka_kimiko@example.com	女	51	1968/4/20	既婚	福井県	080-9748-8011	ドコモ	手前ルー・せき止め派
美輪 えみ	みわ えみ	miwa_emi@example.com	女	67	1953/2/5	既婚	岐阜県	080-3320-1910	ソフトバンク	右ルー・ルー攻め派
浅川 愛	あさかわ あい	asakawa_ai@example.com	女	40	1979/9/1	既婚	愛知県	080-2304-5790	ソフトバンク	左ルー・せき止め派
中田 洋介	なかた ようすけ	nakata_yousuke@example.com	男	27	1992/8/1	未婚	岐阜県	080-4007-1324	ドコモ	ぶっかけ・ルー攻め派
塩沢 正義	しおざわ まさよし	shiozawa_masayoshi@example.com	男	79	1940/4/21	既婚	茨城県	080-7183-7391	ドコモ	奥ルー・ルー攻め派
榊原 えみ	さかきばら えみ	sakakibara_emi@example.com	女	50	1969/4/26	既婚	神奈川県	080-5123-8554	ドコモ	ぶっかけ・せき止め派
相沢 華子	あいざわ はなこ	aizawa_hanako@example.com	女	41	1979/2/5	未婚	神奈川県	080-4805-3999	ドコモ	ぶっかけ・せき止め派
笠井 菊生	かさい きくお	kasai_kikuo@example.com	男	23	1996/3/26	未婚	千葉県	080-5448- 690	ソフトバンク	ぶっかけ・ルー攻め派
岩淵 陽子	いわぶち ようこ	iwabuchi_youko@example.com	女	30	1990/1/8	既婚	埼玉県	080-4592-6886	ソフトバンク	左ルー・ナン派
長岡 涼	ながおか りょう	nagaoka_ryou@example.com	女	70	1949/5/27	既婚	佐賀県	080-7623-1922	ドコモ	ぶっかけ・せき止め派
大泉 有起哉	おおいずみ ゆきや	ooizumi_yukiya@example.com	男	21	1998/9/27	既婚	千葉県	080-4167-8711	ドコモ	ぶっかけ・せき止め派
松居 ひとみ	まつい ひとみ	matsui_hitomi@example.com	女	70	1950/1/26	既婚	東京都	090-5450-2105	ドコモ	ぶっかけ・ルー攻め派
服部 はるみ	はっとり はるみ	hattori_harumi@example.com	女	54	1965/6/4	既婚	北海道	090-1257-9593	ドコモ	左ルー・ルー攻め派
岩崎 真帆	いわさき まほ	iwasaki_maho@example.com	女	43	1976/7/7	既婚	秋田県	090-1636- 353	au	ぶっかけ・せき止め派
上条 朝香	かみじょう あさか	kamijou_asaka@example.com	女	41	1978/6/7	既婚	京都府	080-4581-6720	ドコモ	左ルー・せき止め派
村井 さやか	むらい さやか	murai_sayaka@example.com	女	60	1959/7/3	既婚	大阪府	080-9425-7370	ドコモ	左ルー・せき止め派
宮川 ジローラモ	みやかわ じろーらも	miyakawa_girolamo@example.com	男	33	1986/7/26	既婚	福岡県	080-2334-8157	ドコモ	ぶっかけ・ルー攻め派
